"stop_id,C,254","stop_name,C,254","stop_lat,N,24,15","stop_lon,N,24,15","location_t,N,10,0","parent_sta,C,254","trip_count,N,2,0","trip_ids,C,251","route_ids,C,254","route_nams,C,109",subcounty,distance_from_cbd_km
0710MIH,Mihonge,-1.282169,36.72293,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,10.4215998857042
0710RII,ILRI,-1.267754495,36.72410846,0,,1,70003110,70000000311,3U/3,Dagoretti,10.434557890666614
0700IRI,ILRI,-1.267762184,36.72409236,0,,1,70103110,70000010311,103,Dagoretti,10.436180998467668
0711LRI,ILRI,-1.267017245,36.72309995,0,,1,7046P110,70805046P10,046P,Dagoretti,10.558907768089947
0711IRI,ILRI,-1.266673207,36.72290146,0,,1,70003111,70000000311,3U/3,Dagoretti,10.587272103476542
0701LRI,ILRI,-1.266463995,36.72254741,0,,1,70103111,70000010311,103,Dagoretti,10.630106163729891
0700AIA,Iranda,-1.266272432,36.72245085,0,,1,70103110,70000010311,103,Dagoretti,10.644447575803607
0711MWE,Kamwene,-1.281216145,36.72023535,0,,1,70002111,70601000211,2,Dagoretti,10.722935067480917
0700SJK,St. Joseph's Kabete,-1.265614,36.721817,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,10.726995558660803
0711AON,Roundabout,-1.265805727,36.72175348,0,,1,70103111,70000010311,103,Dagoretti,10.730044430747062
0711NOB,Uthiru Roundabout,-1.264782607,36.72191441,0,,1,7046P110,70805046P10,046P,Dagoretti,10.733731394394928
0700NPS,Nembu Primary School,-1.281202,36.720097,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,10.73834591579456
0700URB,Uthiru Roundabout,-1.26445,36.721303,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,10.807565634841023
0801ILA,ILRI/Uthiru Roundabout,-1.26432,36.7212,0,,1,80030111,80400003011,30,Dagoretti,10.821612583516234
0711MUT,Muthama,-1.280636787,36.71909809,0,,1,70002111,70601000211,2,Dagoretti,10.850918983050104
0711`WI,Gacwiri`,-1.2646792,36.72050893,0,,1,70103111,70000010311,103,Dagoretti,10.889289422933587
0711UUA,Uthiru Roundabout,-1.264695257,36.7204982,0,,1,70003111,70000000311,3U/3,Dagoretti,10.890120522512348
0700MTM,Muthama,-1.280641,36.718732,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,10.891587820473898
0701THR,Uthiru Shopping Center,-1.264103651,36.71982229,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,10.976520202506995
0701WGT,Kwa Mchanga/Total,-1.262896657,36.71842217,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,11.155789991754247
0800UTH,Uthiru Junction,-1.260216,36.718422,0,,4,70103110 80105111 80115110 80135110,70000010311 80500010511 80000115011 80000135011,103 105 115 135,Dagoretti,11.220318210967232
0811UUI,Uthiru,-1.260780752,36.71771944,0,,1,80114111,80000114011,114W,Dagoretti,11.28223442068138
0700MUM,Kwa Machuma,-1.278877258,36.71521425,0,,1,70002110,70601000211,2,Dagoretti,11.289407331972535
0811TSI,Kanisa/Kwa Miti,-1.26047194,36.71708375,0,,1,80105111,80500010511,105,Dagoretti,11.358781132530902
0810UTH,Kanisa/Kwa Miti,-1.260483,36.717077,0,,3,70103110 80114110 80135110,70000010311 80000114011 80000135011,103 114W 135,Dagoretti,11.359237355106265
0703UTP,Uthiru Pentecostal,-1.261362433,36.71680748,0,,3,70003110 70003111 70103111,70000000311 70000000311 70000010311,3U/3 3U/3 103,Dagoretti,11.367026012793714
0801UEN,Uthiru Junction,-1.26079917,36.71692014,0,,2,80105110 80135111,80500010511 80000135011,105 135,Dagoretti,11.368434119768349
0811IHR,Uthiru,-1.260815263,36.71673238,0,,1,80115111,80000115011,115,Dagoretti,11.388401164728679
0711AUH,Kwa Mashuma,-1.279141635,36.71426743,0,,1,70102111,70600010211,102,Dagoretti,11.393322133123064
0701WWU,Waiyaki Way/Uthiru Junction,-1.260951,36.716548,0,,1,70103111,70000010311,103,Dagoretti,11.405094790022174
0700WTA,Waithaka,-1.279553175,36.71243548,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,11.59505899102128
0701WTK,Waithaka,-1.279621,36.712344,0,,2,70002111 70102111,70601000211 70600010211,2 102,Dagoretti,11.604951267612032
0711HRT,Uthiru Girls,-1.261019111,36.7138356,0,,1,70103111,70000010311,103,Dagoretti,11.697937161156338
0801DEP,Deliverance Church/Kwa Miti,-1.260927916,36.71321869,0,,2,70103111 80105110,70000010311 80500010511,103 105,Dagoretti,11.767109177416438
0801ECK,Deliverance Church/Kwa Miti,-1.260986924,36.71317309,0,,1,80135111,80000135011,135,Dagoretti,11.770676790693544
0710AEA,Wamete/Kanisani,-1.260741717,36.71302557,0,,1,70103110,70000010311,103,Dagoretti,11.792485081361058
0801SHC,Shell/Cooperation,-1.260461211,36.71059012,0,,2,70103111 80105110,70000010311 80500010511,103 105,Dagoretti,12.063690217461007
0810COP,Cooperation,-1.260283,36.710522,0,,5,70103110 80105111 80114110 80115110 80135110,70000010311 80500010511 80000114011 80000115011 80000135011,103 105 114W 115 135,Dagoretti,12.075283309813594
0811ELH,Shell/Cooperation,-1.26047194,36.71037823,0,,1,80135111,80000135011,135,Dagoretti,12.086466313004864
0711NRW,Nawaro,-1.281430721,36.70731783,0,,1,70002111,70601000211,2,Dagoretti,12.158195406908362
0700NWA,Nawaro,-1.281795502,36.70657754,0,,1,70002110,70601000211,2,Dagoretti,12.239845436773585
